,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
11940, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug@@Gleiswechsel,14:12,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,22,13:06,20.06.19,Muenchen%238000261,66,ICE
12011, ,,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,0,ICE
12218, ,,ICE703,Berlin Hbf (tief) 09:37-Berlin Südkreuz 09:44-Bitterfeld 10:34-Erfurt Hbf 11:32-Bamberg 12:17-Nürnberg Hbf 12:53-Ingolstadt Hbf 13:24-München Hbf 14:02,8000261.0,arr,Berlin Hbf (tief),19,14:02,20.06.19,Muenchen%238000261,0,ICE
12223, Grund: Überholung@@Gleiswechsel,14:19,ICE621,Essen Hbf 08:40-Duisburg Hbf 08:55-Düsseldorf Hbf 09:13-Köln Messe/Deutz Gl.11-12 09:36-Montabaur 10:04-Limburg Süd 10:14-Frankfurt(M) Flughafen Fernbf 10:36-Frankfurt(Main)Hbf 10:54-Aschaffenburg Hbf 11:23-Würzburg Hbf 12:04-Nürnberg Hbf 13:02-München Hbf 14:06,8000261.0,arr,Essen Hbf,14,14:06,20.06.19,Muenchen%238000261,13,ICE
12245, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,15:54,ICE 1113,Hamburg-Altona 05:20-Hamburg Dammtor 05:31-Hamburg Hbf 05:46-Hamburg-Harburg 05:57-Bremen Hbf 06:44-Osnabrück Hbf 07:37-Münster(Westf)Hbf 08:02-Dortmund Hbf 08:39-Essen Hbf 09:00-Duisburg Hbf 09:13-Düsseldorf Hbf 09:27-Köln Messe/Deutz Gl.11-12 09:49-Siegburg/Bonn 10:02-Frankfurt(M) Flughafen Fernbf 10:52-Mannheim Hbf 11:31-Stuttgart Hbf 12:14-Göppingen12:35-Ulm Hbf 13:12-Augsburg Hbf 13:55-München Hbf 14:27,8000261.0,arr,Hamburg-Altona,14,14:27,20.06.19,Muenchen%238000261,87,ICE
12259, ,14:41,ICE 1085,Hamburg-Altona 08:07-Hamburg Dammtor 08:15-Hamburg Hbf 08:28-Hamburg-Harburg 08:40-Lüneburg 08:59-Uelzen 09:16-Celle 09:39-Hannover Hbf 10:04-Göttingen 11:02-Kassel-Wilhelmshöhe 11:23-Fulda 11:56-Würzburg Hbf 12:32-Nürnberg Hbf 13:28-Ingolstadt Hbf 14:01-München Hbf 14:41,8000261.0,arr,Hamburg-Altona,23,14:41,20.06.19,Muenchen%238000261,0,ICE
12367, ,,ICE621,Essen Hbf 08:40-Duisburg Hbf 08:55-Düsseldorf Hbf 09:13-Köln Messe/Deutz Gl.11-12 09:36-Montabaur 10:04-Limburg Süd 10:14-Frankfurt(M) Flughafen Fernbf 10:36-Frankfurt(Main)Hbf 10:54-Aschaffenburg Hbf 11:23-Würzburg Hbf 12:04-Nürnberg Hbf 13:02-München Hbf 14:06,8000261.0,arr,Essen Hbf,22,14:06,20.06.19,Muenchen%238000261,0,ICE
12743, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges@@Gleiswechsel,14:35,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:19-Würzburg Hbf 16:28-Fulda 17:02-Kassel-Wilhelmshöhe 17:34-Göttingen 17:55-Hannover Hbf 18:56-Celle 19:18-Uelzen 19:40-Lüneburg 19:56-Hamburg-Harburg 20:16-Hamburg Hbf 20:28-Hamburg Dammtor 20:35-Hamburg-Altona 20:45,8000261.0,dep,Hamburg-Altona,23,14:20,20.06.19,Muenchen%238000261,15,ICE
12752, ,,ICE594,München Hbf 14:28-Augsburg Hbf 15:00-Ulm Hbf 15:47-Stuttgart Hbf 16:45-Mannheim Hbf 17:29-Frankfurt(Main)Hbf 18:08-Fulda 19:07-Eisenach 20:00-Erfurt Hbf 20:26-Leipzig Hbf 21:10-Lutherstadt Wittenberg Hbf 21:46-Berlin Südkreuz 22:22-Berlin Hbf (tief) 22:29-Berlin Gesundbrunnen 22:43,8000261.0,dep,Berlin Gesundbrunnen,18,14:28,20.06.19,Muenchen%238000261,0,ICE
12774, Gleiswechsel,,ICE622,München Hbf 14:51-Nürnberg Hbf 15:54-Würzburg Hbf 16:52-Aschaffenburg Hbf 17:32-Frankfurt(Main)Hbf 18:04-Frankfurt(M) Flughafen Fernbf 18:22-Köln Messe/Deutz Gl.11-12 19:14-Düsseldorf Hbf 19:44-Duisburg Hbf 19:59-Essen Hbf 20:15-Bochum Hbf 20:28-Dortmund Hbf 20:42,8000261.0,dep,Dortmund Hbf,14,14:51,20.06.19,Muenchen%238000261,0,ICE
