,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type,TP
4132, Grund: Personen im Gleis,14:13,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,20,I,13
4221, ,,IC2028,Nürnberg Hbf 05:26-Fürth(Bay)Hbf 05:34-Würzburg Hbf 06:24-Aschaffenburg Hbf 07:05-Frankfurt(Main)Hbf 07:42-Frankfurt(M) Flughafen Fernbf 07:58-Mainz Hbf 08:20-Koblenz Hbf 09:13-Bonn Hbf 09:46-Köln Hbf 10:09-Solingen Hbf 10:29-Wuppertal Hbf 10:43-Hagen Hbf 11:01-Dortmund Hbf 11:24-Münster(Westf)Hbf 11:59-Osnabrück Hbf 12:25-Bremen Hbf 13:16,8000050.0,arr,Nürnberg Hbf,10,13:16,20.06.19,Bremen%238000050,0,I,13
4229, Grund: Verspätung eines vorausfahrenden Zuges,14:04,IC2311,Westerland(Sylt) 09:26-Niebüll 10:13-Husum 10:42-Heide(Holst) 11:08-Itzehoe 11:55-Hamburg Dammtor 12:39-Hamburg Hbf 12:46-Hamburg-Harburg 12:57-Bremen Hbf 13:41,8000050.0,arr,Westerland(Sylt),8,13:41,20.06.19,Bremen%238000050,23,I,13
4231, Grund: Personen im Gleis,14:11,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50Verden(Aller) - Bremen Hbf: Störung. Weitere Informationen,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,21,I,13
4241, ,,IC2028,Bremen Hbf 13:19-Hamburg-Harburg 14:02-Hamburg Hbf 14:14-Hamburg Dammtor 14:20-Hamburg-Altona 14:29,8000050.0,dep,Hamburg-Altona,10,13:19,20.06.19,Bremen%238000050,0,I,13
4249, Grund: Verspätung eines vorausfahrenden Zuges,14:07,IC2311,Bremen Hbf 13:44-Osnabrück Hbf 14:35-Münster(Westf)Hbf 15:00-Gelsenkirchen Hbf 15:45-Duisburg Hbf 16:11-Düsseldorf Hbf 16:25-Köln Hbf 16:50-Bonn Hbf 17:12-Koblenz Hbf 17:46-Mainz Hbf 18:39-Mannheim Hbf 19:21-Heidelberg Hbf 19:34-Vaihingen(Enz) 20:03-Stuttgart Hbf 20:24,8000050.0,dep,Stuttgart Hbf,8,13:44,20.06.19,Bremen%238000050,23,I,13
4252, Grund: Personen im Gleis,14:14,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Bremen Hbf - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,21,I,13
4271, Grund: Personen im Gleis,14:11,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50Bremen Hbf: Störung. Weitere Informationen,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,21,I,13
4549, Grund: Personen im Gleis,14:12,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50Bremen Hbf: Störung. Weitere Informationen,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,22,I,13
4570, Grund: Personen im Gleis,14:15,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Bremen Hbf - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,22,I,13
5069, Grund: Personen im Gleis,14:10,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50Bremen Hbf: Störung. Weitere Informationen,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,20,I,13
5090, Grund: Personen im Gleis,14:13,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Bremen Hbf - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,20,I,13
5467, ,,IC2311,Westerland(Sylt) 09:26-Niebüll 10:13-Husum 10:42-Heide(Holst) 11:08-Itzehoe 11:55-Hamburg Dammtor 12:39-Hamburg Hbf 12:46-Hamburg-Harburg 12:57-Bremen Hbf 13:41,8000050.0,arr,Westerland(Sylt),8,13:41,20.06.19,Bremen%238000050,0,I,13
5490, Grund: Personen im Gleis,14:13,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Hude - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,20,I,13
5589, Grund: Personen im Gleis,14:09,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50Bremen Hbf: Störung. Weitere Informationen,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,19,I,13
5607, ,,IC2311,Bremen Hbf 13:44-Osnabrück Hbf 14:35-Münster(Westf)Hbf 15:00-Gelsenkirchen Hbf 15:45-Duisburg Hbf 16:11-Düsseldorf Hbf 16:25-Köln Hbf 16:50-Bonn Hbf 17:12-Koblenz Hbf 17:46-Mainz Hbf 18:39-Mannheim Hbf 19:21-Heidelberg Hbf 19:34-Vaihingen(Enz) 20:03-Stuttgart Hbf 20:24,8000050.0,dep,Stuttgart Hbf,8,13:44,20.06.19,Bremen%238000050,0,I,13
5690, Grund: Personen im Gleis,14:11,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Hude - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,18,I,13
5749, ,,IC2430,Leipzig Hbf 09:12-Leipzig/Halle Flughafen 09:24-Halle(Saale)Hbf 09:36-Bitterfeld 09:57-Dessau Hbf 10:15-Magdeburg Hbf 11:00-Helmstedt 11:26-Braunschweig Hbf 11:49-Hannover Hbf 12:45-Nienburg(Weser) 13:13-Verden(Aller) 13:30-Bremen Hbf 13:50,8000050.0,arr,Leipzig Hbf,3,13:50,20.06.19,Bremen%238000050,0,I,13
5850, ,,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Hude - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,0,I,13
5890, ,,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38Oldenburg(Oldb) - Emden Hbf: Störung. Weitere Informationen,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,0,I,13
6059, ,,IC2431,Emden Außenhafen 12:01-Emden Hbf 12:18-Leer(Ostfriesl) 12:41-Augustfehn 12:59-Westerstede-Ocholt 13:06-Bad Zwischenahn 13:13-Oldenburg(Oldb) 13:35-Hude 13:45-Delmenhorst 13:54-Bremen Hbf 14:05,8000050.0,arr,Emden Außenhafen,1,14:05,20.06.19,Bremen%238000050,0,I,14
6062, Grund: Betätigen der Notbremse@@Gleiswechsel,14:35,IC2216,Stuttgart Hbf 07:37-Vaihingen(Enz) 07:55-Heidelberg Hbf 08:25-Mannheim Hbf 08:39-Mainz Hbf 09:20-Koblenz Hbf 10:13-Bonn Hbf 10:46-Köln Hbf 11:09-Düsseldorf Hbf 11:32-Duisburg Hbf 11:46-Essen Hbf 12:00-Gelsenkirchen Hbf 12:13-Münster(Westf)Hbf 12:57-Osnabrück Hbf 13:23-Bremen Hbf 14:15,8000050.0,arr,Stuttgart Hbf,8,14:15,20.06.19,Bremen%238000050,20,I,14
6072, Grund: Verspätung aus vorheriger Fahrt,14:57,IC2229,Kiel Hbf 12:37-Neumünster 12:56-Hamburg Dammtor 13:38-Hamburg Hbf 13:46-Hamburg-Harburg 13:57-Bremen Hbf 14:41,8000050.0,arr,Kiel Hbf,7,14:41,20.06.19,Bremen%238000050,16,I,14
6073, ,14:44,IC2250,Hannover Hbf 13:45-Bremen Hbf 14:44,8000050.0,arr,Hannover Hbf,6,14:44,20.06.19,Bremen%238000050,0,I,14
6080, ,,IC2430,Bremen Hbf 13:53-Delmenhorst 14:02-Hude 14:12-Oldenburg(Oldb) 14:23-Bad Zwischenahn 14:43-Westerstede-Ocholt 14:50-Augustfehn 14:58-Leer(Ostfriesl) 15:14-Emden Hbf 15:38,8000050.0,dep,Emden Hbf,3,13:53,20.06.19,Bremen%238000050,0,I,13
6083, ,,IC2431,Bremen Hbf 14:09-Verden(Aller) 14:28-Nienburg(Weser) 14:44-Hannover Hbf 15:13-Braunschweig Hbf 16:08-Helmstedt 16:30-Magdeburg Hbf 16:58-Brandenburg Hbf 17:38-Potsdam Hbf 17:58-Berlin Wannsee 18:07-Berlin Hbf 18:22-Berlin Ostbahnhof 18:35-Königs Wusterhausen 19:01-Lübben(Spreewald) 19:23-Lübbenau(Spreewald) 19:32-Cottbus Hbf 19:50,8000050.0,dep,Cottbus Hbf,1,14:09,20.06.19,Bremen%238000050,0,I,14
6087, Grund: Betätigen der Notbremse@@Gleiswechsel,14:38,IC2216,Bremen Hbf 14:18-Hamburg-Harburg 15:01-Hamburg-Bergedorf 15:22-Schwerin Hbf 16:12-Bützow 16:44-Rostock Hbf 17:06-Ribnitz-Damgarten West 17:37-Velgast 17:52-Stralsund Hbf 18:12-Greifswald 18:36,8000050.0,dep,Greifswald,8,14:18,20.06.19,Bremen%238000050,20,I,14
6095, Grund: Verspätung aus vorheriger Fahrt,15:01,IC2229,Bremen Hbf 14:44-Osnabrück Hbf 15:35-Münster(Westf)Hbf 16:00-Dortmund Hbf 16:36-Wuppertal Hbf 17:12-Solingen Hbf 17:26-Köln Hbf 17:46-Bonn Hbf 18:12-Koblenz Hbf 18:46-Mainz Hbf 19:39-Frankfurt(M) Flughafen Fernbf 19:59-Frankfurt(Main)Hbf 20:13-Hanau Hbf 20:36-Aschaffenburg Hbf 20:51-Würzburg Hbf 21:32-Nürnberg Hbf 22:27-Regensburg Hbf 23:38-Straubing 00:01-Plattling 00:16-Passau Hbf 00:50,8000050.0,dep,Passau Hbf,7,14:44,20.06.19,Bremen%238000050,17,I,14
6254, Grund: Betätigen der Notbremse@@Gleiswechsel,14:34,IC2216,Stuttgart Hbf 07:37-Vaihingen(Enz) 07:55-Heidelberg Hbf 08:25-Mannheim Hbf 08:39-Mainz Hbf 09:20-Koblenz Hbf 10:13-Bonn Hbf 10:46-Köln Hbf 11:09-Düsseldorf Hbf 11:32-Duisburg Hbf 11:46-Essen Hbf 12:00-Gelsenkirchen Hbf 12:13-Münster(Westf)Hbf 12:57-Osnabrück Hbf 13:23-Bremen Hbf 14:15,8000050.0,arr,Stuttgart Hbf,8,14:15,20.06.19,Bremen%238000050,19,I,14
6279, Grund: Betätigen der Notbremse@@Gleiswechsel,14:37,IC2216,Bremen Hbf 14:18-Hamburg-Harburg 15:01-Hamburg-Bergedorf 15:22-Schwerin Hbf 16:12-Bützow 16:44-Rostock Hbf 17:06-Ribnitz-Damgarten West 17:37-Velgast 17:52-Stralsund Hbf 18:12-Greifswald 18:36,8000050.0,dep,Greifswald,8,14:18,20.06.19,Bremen%238000050,19,I,14
6447, Grund: Betätigen der Notbremse@@Gleiswechsel,14:36,IC2216,Bremen Hbf 14:18-Hamburg-Harburg 15:01-Hamburg-Bergedorf 15:22-Schwerin Hbf 16:12-Bützow 16:44-Rostock Hbf 17:06-Ribnitz-Damgarten West 17:37-Velgast 17:52-Stralsund Hbf 18:12-Greifswald 18:36,8000050.0,dep,Greifswald,8,14:18,20.06.19,Bremen%238000050,18,I,14
6455, Grund: Verspätung aus vorheriger Fahrt,15:00,IC2229,Bremen Hbf 14:44-Osnabrück Hbf 15:35-Münster(Westf)Hbf 16:00-Dortmund Hbf 16:36-Wuppertal Hbf 17:12-Solingen Hbf 17:26-Köln Hbf 17:46-Bonn Hbf 18:12-Koblenz Hbf 18:46-Mainz Hbf 19:39-Frankfurt(M) Flughafen Fernbf 19:59-Frankfurt(Main)Hbf 20:13-Hanau Hbf 20:36-Aschaffenburg Hbf 20:51-Würzburg Hbf 21:32-Nürnberg Hbf 22:27-Regensburg Hbf 23:38-Straubing 00:01-Plattling 00:16-Passau Hbf 00:50,8000050.0,dep,Passau Hbf,7,14:44,20.06.19,Bremen%238000050,16,I,14
6470, ,,IC2216,Stuttgart Hbf 07:37-Vaihingen(Enz) 07:55-Heidelberg Hbf 08:25-Mannheim Hbf 08:39-Mainz Hbf 09:20-Koblenz Hbf 10:13-Bonn Hbf 10:46-Köln Hbf 11:09-Düsseldorf Hbf 11:32-Duisburg Hbf 11:46-Essen Hbf 12:00-Gelsenkirchen Hbf 12:13-Münster(Westf)Hbf 12:57-Osnabrück Hbf 13:23-Bremen Hbf 14:15,8000050.0,arr,Stuttgart Hbf,9,14:15,20.06.19,Bremen%238000050,0,I,14
6495, ,,IC2216,Bremen Hbf 14:18-Hamburg-Harburg 15:01-Hamburg-Bergedorf 15:22-Schwerin Hbf 16:12-Bützow 16:44-Rostock Hbf 17:06-Ribnitz-Damgarten West 17:37-Velgast 17:52-Stralsund Hbf 18:12-Greifswald 18:36,8000050.0,dep,Greifswald,9,14:18,20.06.19,Bremen%238000050,0,I,14
6816, Grund: Verspätung aus vorheriger Fahrt,14:56,IC2229,Kiel Hbf 12:37-Neumünster 12:56-Hamburg Dammtor 13:38-Hamburg Hbf 13:46-Hamburg-Harburg 13:57-Bremen Hbf 14:41,8000050.0,arr,Kiel Hbf,7,14:41,20.06.19,Bremen%238000050,15,I,14
6865, ,,IC2250,Hannover Hbf 13:45-Bremen Hbf 14:44,8000050.0,arr,Hannover Hbf,6,14:44,20.06.19,Bremen%238000050,0,I,14
6912, Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,14:56,IC2229,Kiel Hbf 12:37-Neumünster 12:56-Hamburg Dammtor 13:38-Hamburg Hbf 13:46-Hamburg-Harburg 13:57-Bremen Hbf 14:41,8000050.0,arr,Kiel Hbf,8,14:41,20.06.19,Bremen%238000050,15,I,14
6935, Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,15:00,IC2229,Bremen Hbf 14:44-Osnabrück Hbf 15:35-Münster(Westf)Hbf 16:00-Dortmund Hbf 16:36-Wuppertal Hbf 17:12-Solingen Hbf 17:26-Köln Hbf 17:46-Bonn Hbf 18:12-Koblenz Hbf 18:46-Mainz Hbf 19:39-Frankfurt(M) Flughafen Fernbf 19:59-Frankfurt(Main)Hbf 20:13-Hanau Hbf 20:36-Aschaffenburg Hbf 20:51-Würzburg Hbf 21:32-Nürnberg Hbf 22:27-Regensburg Hbf 23:38-Straubing 00:01-Plattling 00:16-Passau Hbf 00:50,8000050.0,dep,Passau Hbf,8,14:44,20.06.19,Bremen%238000050,16,I,14
6960, ,,IC2229,Kiel Hbf 12:37-Neumünster 12:56-Hamburg Dammtor 13:38-Hamburg Hbf 13:46-Hamburg-Harburg 13:57-Bremen Hbf 14:41,8000050.0,arr,Kiel Hbf,7,14:41,20.06.19,Bremen%238000050,0,I,14
7007, ,,IC2229,Bremen Hbf 14:44-Osnabrück Hbf 15:35-Münster(Westf)Hbf 16:00-Dortmund Hbf 16:36-Wuppertal Hbf 17:12-Solingen Hbf 17:26-Köln Hbf 17:46-Bonn Hbf 18:12-Koblenz Hbf 18:46-Mainz Hbf 19:39-Frankfurt(M) Flughafen Fernbf 19:59-Frankfurt(Main)Hbf 20:13-Hanau Hbf 20:36-Aschaffenburg Hbf 20:51-Würzburg Hbf 21:32-Nürnberg Hbf 22:27-Regensburg Hbf 23:38-Straubing 00:01-Plattling 00:16-Passau Hbf 00:50,8000050.0,dep,Passau Hbf,7,14:44,20.06.19,Bremen%238000050,0,I,14
7500, Grund: Verspätung eines vorausfahrenden Zuges,15:23,IC2226,Passau Hbf 05:11-Plattling 05:43-Straubing 05:57-Regensburg Hbf 06:22-Neumarkt(Oberpf) 07:00-Nürnberg Hbf 07:30-Würzburg Hbf 08:24-Hanau Hbf 09:17-Frankfurt(Main)Hbf 09:42-Frankfurt(M) Flughafen Fernbf 09:58-Mainz Hbf 10:20-Koblenz Hbf 11:13-Bonn Hbf 11:46-Köln Hbf 12:09-Solingen Hbf 12:29-Wuppertal Hbf 12:43-Hagen Hbf 13:01-Dortmund Hbf 13:24-Münster(Westf)Hbf 13:59-Osnabrück Hbf 14:25-Bremen Hbf 15:16Bremen Hbf: Information. Weitere Informationen,8000050.0,arr,Passau Hbf,10,15:16,20.06.19,Bremen%238000050,7,I,15
7510, ,15:41,IC2213,Ostseebad Binz 10:28-Bergen auf Rügen 10:54-Stralsund Hbf 11:26-Velgast 11:40-Ribnitz-Damgarten West 11:55-Rostock Hbf 12:44-Bützow 13:04-Schwerin Hbf 13:39-Hamburg-Bergedorf 14:24-Hamburg-Harburg 14:57-Bremen Hbf 15:41,8000050.0,arr,Ostseebad Binz,8,15:41,20.06.19,Bremen%238000050,0,I,15
7512, ,15:50,IC2038,Leipzig Hbf 11:12-Leipzig/Halle Flughafen 11:24-Halle(Saale)Hbf 11:36-Bitterfeld 11:57-Dessau Hbf 12:15-Magdeburg Hbf 13:00-Helmstedt 13:26-Braunschweig Hbf 13:49-Hannover Hbf 14:45-Nienburg(Weser) 15:13-Verden(Aller) 15:30-Bremen Hbf 15:50,8000050.0,arr,Leipzig Hbf,3,15:50,20.06.19,Bremen%238000050,0,I,15
7519, ,,IC2251,Bremen Hbf 15:15-Hannover Hbf 16:13,8000050.0,dep,Hannover Hbf,6,15:15,20.06.19,Bremen%238000050,0,I,15
7522, Grund: Verspätung eines vorausfahrenden Zuges,15:26,IC2226,Bremen Hbf 15:19-Hamburg-Harburg 16:02-Hamburg Hbf 16:14-Hamburg Dammtor 16:20-Neumünster 17:04-Kiel Hbf 17:23,8000050.0,dep,Kiel Hbf,10,15:19,20.06.19,Bremen%238000050,7,I,15
7530, ,15:44,IC2213,Bremen Hbf 15:44-Osnabrück Hbf 16:35-Münster(Westf)Hbf 17:00-Gelsenkirchen Hbf 17:47-Essen Hbf 17:58-Duisburg Hbf 18:11-Düsseldorf Hbf 18:25-Köln Hbf 18:50-Bonn Hbf 19:12-Koblenz Hbf 19:46-Mainz Hbf 20:39-Mannheim Hbf 21:21-Heidelberg Hbf 21:34-Vaihingen(Enz) 22:03-Stuttgart Hbf 22:24,8000050.0,dep,Stuttgart Hbf,8,15:44,20.06.19,Bremen%238000050,0,I,15
7533, ,15:55,IC2038,Bremen Hbf 15:53-Delmenhorst 16:02-Hude 16:12-Oldenburg(Oldb) 16:23-Bad Zwischenahn 16:43-Westerstede-Ocholt 16:50-Augustfehn 16:58-Leer(Ostfriesl) 17:14-Emden Hbf 17:38,8000050.0,dep,Emden Hbf,3,15:53,20.06.19,Bremen%238000050,2,I,15
7543, Grund: Verspätung eines vorausfahrenden Zuges,15:24,IC2226,Passau Hbf 05:11-Plattling 05:43-Straubing 05:57-Regensburg Hbf 06:22-Neumarkt(Oberpf) 07:00-Nürnberg Hbf 07:30-Würzburg Hbf 08:24-Hanau Hbf 09:17-Frankfurt(Main)Hbf 09:42-Frankfurt(M) Flughafen Fernbf 09:58-Mainz Hbf 10:20-Koblenz Hbf 11:13-Bonn Hbf 11:46-Köln Hbf 12:09-Solingen Hbf 12:29-Wuppertal Hbf 12:43-Hagen Hbf 13:01-Dortmund Hbf 13:24-Münster(Westf)Hbf 13:59-Osnabrück Hbf 14:25-Bremen Hbf 15:16Bremen Hbf: Information. Weitere Informationen,8000050.0,arr,Passau Hbf,10,15:16,20.06.19,Bremen%238000050,8,I,15
7565, Grund: Verspätung eines vorausfahrenden Zuges,15:25,IC2226,Passau Hbf 05:11-Plattling 05:43-Straubing 05:57-Regensburg Hbf 06:22-Neumarkt(Oberpf) 07:00-Nürnberg Hbf 07:30-Würzburg Hbf 08:24-Hanau Hbf 09:17-Frankfurt(Main)Hbf 09:42-Frankfurt(M) Flughafen Fernbf 09:58-Mainz Hbf 10:20-Koblenz Hbf 11:13-Bonn Hbf 11:46-Köln Hbf 12:09-Solingen Hbf 12:29-Wuppertal Hbf 12:43-Hagen Hbf 13:01-Dortmund Hbf 13:24-Münster(Westf)Hbf 13:59-Osnabrück Hbf 14:25-Bremen Hbf 15:16Bremen Hbf: Information. Weitere Informationen,8000050.0,arr,Passau Hbf,10,15:16,20.06.19,Bremen%238000050,9,I,15
7609, Grund: Verspätung eines vorausfahrenden Zuges,15:28,IC2226,Bremen Hbf 15:19-Hamburg-Harburg 16:02-Hamburg Hbf 16:14-Hamburg Dammtor 16:20-Neumünster 17:04-Kiel Hbf 17:23,8000050.0,dep,Kiel Hbf,10,15:19,20.06.19,Bremen%238000050,9,I,15
7695, ,,IC2226,Passau Hbf 05:11-Plattling 05:43-Straubing 05:57-Regensburg Hbf 06:22-Neumarkt(Oberpf) 07:00-Nürnberg Hbf 07:30-Würzburg Hbf 08:24-Hanau Hbf 09:17-Frankfurt(Main)Hbf 09:42-Frankfurt(M) Flughafen Fernbf 09:58-Mainz Hbf 10:20-Koblenz Hbf 11:13-Bonn Hbf 11:46-Köln Hbf 12:09-Solingen Hbf 12:29-Wuppertal Hbf 12:43-Hagen Hbf 13:01-Dortmund Hbf 13:24-Münster(Westf)Hbf 13:59-Osnabrück Hbf 14:25-Bremen Hbf 15:16,8000050.0,arr,Passau Hbf,10,15:16,20.06.19,Bremen%238000050,0,I,15
7739, Grund: Verspätung eines vorausfahrenden Zuges,15:27,IC2226,Bremen Hbf 15:19-Hamburg-Harburg 16:02-Hamburg Hbf 16:14-Hamburg Dammtor 16:20-Neumünster 17:04-Kiel Hbf 17:23,8000050.0,dep,Kiel Hbf,10,15:19,20.06.19,Bremen%238000050,8,I,15
7804, ,,IC2226,Bremen Hbf 15:19-Hamburg-Harburg 16:02-Hamburg Hbf 16:14-Hamburg Dammtor 16:20-Neumünster 17:04-Kiel Hbf 17:23,8000050.0,dep,Kiel Hbf,10,15:19,20.06.19,Bremen%238000050,0,I,15
7966, ,15:53,IC2038,Bremen Hbf 15:53-Delmenhorst 16:02-Hude 16:12-Oldenburg(Oldb) 16:23-Bad Zwischenahn 16:43-Westerstede-Ocholt 16:50-Augustfehn 16:58-Leer(Ostfriesl) 17:14-Emden Hbf 17:38,8000050.0,dep,Emden Hbf,3,15:53,20.06.19,Bremen%238000050,0,I,15
8267, ,,IC2213,Ostseebad Binz 10:28-Bergen auf Rügen 10:54-Stralsund Hbf 11:26-Velgast 11:40-Ribnitz-Damgarten West 11:55-Rostock Hbf 12:44-Bützow 13:04-Schwerin Hbf 13:39-Hamburg-Bergedorf 14:24-Hamburg-Harburg 14:57-Bremen Hbf 15:41,8000050.0,arr,Ostseebad Binz,8,15:41,20.06.19,Bremen%238000050,0,I,15
8417, ,,IC2213,Bremen Hbf 15:44-Osnabrück Hbf 16:35-Münster(Westf)Hbf 17:00-Gelsenkirchen Hbf 17:47-Essen Hbf 17:58-Duisburg Hbf 18:11-Düsseldorf Hbf 18:25-Köln Hbf 18:50-Bonn Hbf 19:12-Koblenz Hbf 19:46-Mainz Hbf 20:39-Mannheim Hbf 21:21-Heidelberg Hbf 21:34-Vaihingen(Enz) 22:03-Stuttgart Hbf 22:24,8000050.0,dep,Stuttgart Hbf,8,15:44,20.06.19,Bremen%238000050,0,I,15
8551, ,,IC2038,Leipzig Hbf 11:12-Leipzig/Halle Flughafen 11:24-Halle(Saale)Hbf 11:36-Bitterfeld 11:57-Dessau Hbf 12:15-Magdeburg Hbf 13:00-Helmstedt 13:26-Braunschweig Hbf 13:49-Hannover Hbf 14:45-Nienburg(Weser) 15:13-Verden(Aller) 15:30-Bremen Hbf 15:50,8000050.0,arr,Leipzig Hbf,3,15:50,20.06.19,Bremen%238000050,0,I,15
8680, ,,IC2038,Bremen Hbf 15:53-Delmenhorst 16:02-Hude 16:12-Oldenburg(Oldb) 16:23-Bad Zwischenahn 16:43-Westerstede-Ocholt 16:50-Augustfehn 16:58-Leer(Ostfriesl) 17:14-Emden Hbf 17:38,8000050.0,dep,Emden Hbf,3,15:53,20.06.19,Bremen%238000050,0,I,15
9762, ,,IC2433,Emden Hbf 14:16-Leer(Ostfriesl) 14:41-Augustfehn 14:59-Westerstede-Ocholt 15:06-Bad Zwischenahn 15:13-Oldenburg(Oldb) 15:35-Hude 15:45-Delmenhorst 15:54-Bremen Hbf 16:05,8000050.0,arr,Emden Hbf,1,16:05,20.06.19,Bremen%238000050,0,I,16
9765, Grund: Personen im Gleis,16:29,IC2218,Stuttgart Hbf 09:37-Vaihingen(Enz) 09:55-Heidelberg Hbf 10:25-Mannheim Hbf 10:39-Mainz Hbf 11:20-Koblenz Hbf 12:13-Bonn Hbf 12:46-Köln Hbf 13:09-Düsseldorf Hbf 13:32-Duisburg Hbf 13:46-Essen Hbf 14:00-Gelsenkirchen Hbf 14:13-Münster(Westf)Hbf 14:57-Osnabrück Hbf 15:23-Bremen Hbf 16:16Bremen Hbf: Information. Weitere Informationen,8000050.0,arr,Stuttgart Hbf,10,16:16,20.06.19,Bremen%238000050,13,I,16
