 Grund: Warten auf Fahrgäste aus einem anderen Zug,402
 Grund: Warten auf Fahrgäste aus einem anderen Zug@@Gleiswechsel,30
 Grund: Warten auf einen entgegenkommenden Zug,130
 Grund: Warten auf freie Einfahrt,12
 Grund: Warten auf freie Einfahrt@@Gleiswechsel,1
 Grund: Warten auf weitere Wagen,32
 Grund: Weichenstörung,7
 Grund: Witterungsbedingte Störung,25
 Grund: Zusätzlicher Halt zum Ein- /Ausstieg für Reisende,14
 Grund: Ärztliche Versorgung eines Fahrgastes,85
 Grund: Ärztliche Versorgung eines Fahrgastes@@Gleiswechsel,2
 Grund: Überholung,326
 Grund: Überholung@@Gleiswechsel,18
 Sonderfahrt,27
 Sonderfahrt@@Grund: Technische Störung an der Strecke,23
 Sonderfahrt@@Grund: Technische Störung an der Strecke@@Gleiswechsel,5
 Sonderfahrt@@Grund: Warten auf Fahrgäste aus einem anderen Zug,1
 Änderung im Fahrtverlauf!,7
 Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Polizeiliche Ermittlung,7
 Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt,9
 Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Zusätzlicher Halt zum Ein- /Ausstieg für Reisende,7
 Änderung im Fahrtverlauf!@@Fährt heute erst ab Bordesholm,1
 Änderung im Fahrtverlauf!@@Fährt heute erst ab Bordesholm@@Gleiswechsel,1
 Änderung im Fahrtverlauf!@@Fährt heute erst ab Flintbek@@Grund: Verzögerungen im Betriebsablauf,4
 Änderung im Fahrtverlauf!@@Fährt heute erst ab Hamburg-Altona(S)@@Grund: Polizeiliche Ermittlung,2
 Änderung im Fahrtverlauf!@@Grund: Notarzteinsatz am Gleis,4
 Änderung im Fahrtverlauf!@@Grund: Oberleitungsstörung,24
 Änderung im Fahrtverlauf!@@Grund: Personen im Gleis,22
 Änderung im Fahrtverlauf!@@Grund: Polizeiliche Ermittlung,1
 Änderung im Fahrtverlauf!@@Grund: Streckensperrung@@Gleiswechsel,4
 Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,37
 Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug@@Gleiswechsel,5
 Änderung im Fahrtverlauf!@@Grund: Technische Störung an der Strecke@@Gleiswechsel,1
 Änderung im Fahrtverlauf!@@Grund: Technische Störung an einem anderen Zug,35
 Änderung im Fahrtverlauf!@@Grund: Technische Störung an einem anderen Zug@@Gleiswechsel,1
 Änderung im Fahrtverlauf!@@Grund: Umleitung des Zuges,2
 Änderung im Fahrtverlauf!@@Grund: Verspätung eines vorausfahrenden Zuges,10
 Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,25
 Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf@@Gleiswechsel,6
 Änderung im Fahrtverlauf!@@Grund: Zusätzlicher Halt zum Ein- /Ausstieg für Reisende,13
