,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
17084, Grund: Notarzteinsatz am Gleis@@Gleiswechsel,17:39,ICE 74,Zürich HB 10:00-Basel SBB 11:06-Basel Bad Bf 11:15-Freiburg(Breisgau) Hbf 11:48-Baden-Baden 12:33-Karlsruhe Hbf 12:51-Mannheim Hbf 13:16-Frankfurt(Main)Hbf 13:58-Kassel-Wilhelmshöhe 15:21-Göttingen 15:41-Hannover Hbf 16:34,8000152.0,arr,Zürich HB,7,16:34,20.06.19,Hannover%238000152,65,ICE
17106, Grund: Polizeiliche Ermittlung,17:30,ICE651,Köln Hbf 14:48-Wuppertal Hbf 15:16-Hamm(Westf) 16:02-Bielefeld Hbf 16:34-Hannover Hbf 17:28,8000152.0,arr,Köln Hbf,9,17:28,20.06.19,Hannover%238000152,2,ICE
17125, Grund: Notarzteinsatz am Gleis@@Gleiswechsel,17:38,ICE 74,Zürich HB 10:00-Basel SBB 11:06-Basel Bad Bf 11:15-Freiburg(Breisgau) Hbf 11:48-Baden-Baden 12:33-Karlsruhe Hbf 12:51-Mannheim Hbf 13:16-Frankfurt(Main)Hbf 13:58-Kassel-Wilhelmshöhe 15:21-Göttingen 15:41-Hannover Hbf 16:34,8000152.0,arr,Zürich HB,7,16:34,20.06.19,Hannover%238000152,64,ICE
17145, ,,ICE846,Berlin Gesundbrunnen 15:37-Berlin Hbf (tief) 15:49-Berlin-Spandau 16:00-Wolfsburg Hbf 16:53-Hannover Hbf 17:28,8000152.0,arr,Berlin Gesundbrunnen,12,17:28,20.06.19,Hannover%238000152,0,ICE
17147, ,,ICE651,Köln Hbf 14:48-Wuppertal Hbf 15:16-Hamm(Westf) 16:02-Bielefeld Hbf 16:34-Hannover Hbf 17:28,8000152.0,arr,Köln Hbf,9,17:28,20.06.19,Hannover%238000152,0,ICE
17290, Grund: Notarzteinsatz am Gleis@@Gleiswechsel,17:42,ICE 74,Hannover Hbf 16:37-Hamburg-Harburg 17:41-Hamburg Hbf 17:53-Hamburg Dammtor 18:00-Neumünster 18:56-Kiel Hbf 19:16,8000152.0,dep,Kiel Hbf,7,16:37,20.06.19,Hannover%238000152,65,ICE
17459, Grund: Notarzteinsatz am Gleis@@Gleiswechsel,17:42,ICE 74,Zürich HB 10:00-Basel SBB 11:06-Basel Bad Bf 11:15-Freiburg(Breisgau) Hbf 11:48-Baden-Baden 12:33-Karlsruhe Hbf 12:51-Mannheim Hbf 13:16-Frankfurt(Main)Hbf 13:58-Kassel-Wilhelmshöhe 15:21-Göttingen 15:41-Hannover Hbf 16:34,8000152.0,arr,Zürich HB,7,16:34,20.06.19,Hannover%238000152,68,ICE
17486, ,,ICE 1749,Ostseebad Binz 12:27-Bergen auf Rügen 12:55-Stralsund Hbf 13:27-Velgast 13:41-Ribnitz-Damgarten Ost 13:54-Rostock Hbf 14:25-Bützow 14:46-Schwerin Hbf 15:21-Hamburg-Bergedorf 16:06-Hamburg-Harburg 16:32-Hannover Hbf 17:38,8000152.0,arr,Ostseebad Binz,4,17:38,20.06.19,Hannover%238000152,0,ICE
17498, ,17:57,ICE 1723,Hamburg-Altona 16:12-Hamburg Dammtor 16:21-Hamburg Hbf 16:28-Hamburg-Harburg 16:39-Lüneburg 16:59-Uelzen 17:15-Celle 17:38-Hannover Hbf 17:57Hannover Hbf: Information. Weitere Informationen,8000152.0,arr,Hamburg-Altona,4,17:57,20.06.19,Hannover%238000152,0,ICE
17582, ,,ICE 74,Zürich HB 10:00-Basel SBB 11:06-Basel Bad Bf 11:15-Freiburg(Breisgau) Hbf 11:48-Baden-Baden 12:33-Karlsruhe Hbf 12:51-Mannheim Hbf 13:16-Frankfurt(Main)Hbf 13:58-Kassel-Wilhelmshöhe 15:21-Göttingen 15:41-Hannover Hbf 16:34,8000152.0,arr,Zürich HB,8,16:34,20.06.19,Hannover%238000152,0,ICE
17659, Grund: Technische Störung am Zug@@Gleiswechsel,18:07,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,7,17:54,20.06.19,Hannover%238000152,13,ICE
17788, ,,ICE 74,Hannover Hbf 16:37-Hamburg-Harburg 17:41-Hamburg Hbf 17:53-Hamburg Dammtor 18:00-Neumünster 18:56-Kiel Hbf 19:16,8000152.0,dep,Kiel Hbf,8,16:37,20.06.19,Hannover%238000152,0,ICE
17808, ,,ICE846,Hannover Hbf 17:31-Bielefeld Hbf 18:24-Dortmund Hbf 19:10-Bochum Hbf 19:23-Essen Hbf 19:34-Duisburg Hbf 19:47-Düsseldorf Flughafen 19:57-Düsseldorf Hbf 20:06-Köln Hbf 20:36,8000152.0,dep,Köln Hbf,12,17:31,20.06.19,Hannover%238000152,0,ICE
17809, ,,ICE651,Hannover Hbf 17:31-Wolfsburg Hbf18:02-Berlin-Spandau 18:54-Berlin Hbf (tief) 19:05-Berlin Gesundbrunnen 19:19Wolfsburg Hbf - Berlin Hbf (tief): Information. Weitere Informationen,8000152.0,dep,Berlin Gesundbrunnen,9,17:31,20.06.19,Hannover%238000152,0,ICE
17832, Grund: Technische Störung am Zug@@Gleiswechsel,18:10,ICE586,Hannover Hbf 17:59-Celle 18:18-Uelzen 18:40-Lüneburg 18:57-Hamburg-Harburg 19:16-Hamburg Hbf 19:28-Hamburg Dammtor 19:36-Hamburg-Altona 19:46,8000152.0,dep,Hamburg-Altona,7,17:59,20.06.19,Hannover%238000152,11,ICE
17952, Grund: Technische Störung am Zug@@Gleiswechsel,18:10,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,7,17:54,20.06.19,Hannover%238000152,16,ICE
18002, Grund: Technische Störung am Zug@@Gleiswechsel,18:14,ICE586,Hannover Hbf 17:59-Celle 18:18-Uelzen 18:40-Lüneburg 18:57-Hamburg-Harburg 19:16-Hamburg Hbf 19:28-Hamburg Dammtor 19:36-Hamburg-Altona 19:46,8000152.0,dep,Hamburg-Altona,7,17:59,20.06.19,Hannover%238000152,15,ICE
18295, ,,ICE 1723,Hamburg-Altona 16:12-Hamburg Dammtor 16:21-Hamburg Hbf 16:28-Hamburg-Harburg 16:39-Lüneburg 16:59-Uelzen 17:15-Celle 17:38-Hannover Hbf 17:57,8000152.0,arr,Hamburg-Altona,4,17:57,20.06.19,Hannover%238000152,0,ICE
18462, Grund: Technische Störung am Zug,18:10,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,8,17:54,20.06.19,Hannover%238000152,16,ICE
18653, ,,ICE651,Hannover Hbf 17:31-Wolfsburg Hbf18:02-Berlin-Spandau 18:54-Berlin Hbf (tief) 19:05-Berlin Gesundbrunnen 19:19Berlin-Spandau - Berlin Hbf (tief): Information. Weitere Informationen,8000152.0,dep,Berlin Gesundbrunnen,9,17:31,20.06.19,Hannover%238000152,0,ICE
18676, Grund: Technische Störung am Zug,18:14,ICE586,Hannover Hbf 17:59-Celle 18:18-Uelzen 18:40-Lüneburg 18:57-Hamburg-Harburg 19:16-Hamburg Hbf 19:28-Hamburg Dammtor 19:36-Hamburg-Altona 19:46,8000152.0,dep,Hamburg-Altona,8,17:59,20.06.19,Hannover%238000152,15,ICE
18755, ,,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,8,17:54,20.06.19,Hannover%238000152,0,ICE
19145, ,,ICE586,Hannover Hbf 17:59-Celle 18:18-Uelzen 18:40-Lüneburg 18:57-Hamburg-Harburg 19:16-Hamburg Hbf 19:28-Hamburg Dammtor 19:36-Hamburg-Altona 19:46,8000152.0,dep,Hamburg-Altona,8,17:59,20.06.19,Hannover%238000152,0,ICE
19456, ,18:26,ICE773,Hamburg-Altona 16:45-Hamburg Dammtor 16:54-Hamburg Hbf 17:01-Hamburg-Harburg 17:12-Hannover Hbf 18:21,8000152.0,arr,Hamburg-Altona,4,18:21,20.06.19,Hannover%238000152,5,ICE
19462, ,18:28,ICE554,Berlin Gesundbrunnen 16:35-Berlin Hbf (tief) 16:50-Berlin-Spandau 17:02-Hannover Hbf 18:28,8000152.0,arr,Berlin Gesundbrunnen,12,18:28,20.06.19,Hannover%238000152,0,ICE
19463, ,18:28,ICE943,Düsseldorf Hbf 15:51-Düsseldorf Flughafen 15:59-Duisburg Hbf 16:09-Essen Hbf 16:23-Bochum Hbf 16:35-Dortmund Hbf 16:48-Bielefeld Hbf 17:34-Hannover Hbf 18:28,8000152.0,arr,Düsseldorf Hbf,9,18:28,20.06.19,Hannover%238000152,0,ICE
19466, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,19:25,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:34,8000152.0,arr,Chur,8,18:34,20.06.19,Hannover%238000152,51,ICE
19478, Ersatzfahrt für ICE  786,18:56,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:56,8000152.0,arr,München Hbf,8,18:56,20.06.19,Hannover%238000152,0,ICE
19479, Grund: Warten auf freie Einfahrt,19:03,ICE885,Hamburg-Altona 17:12-Hamburg Dammtor 17:21-Hamburg Hbf 17:28-Hamburg-Harburg 17:39-Lüneburg 17:59-Uelzen 18:18-Celle 18:40-Hannover Hbf 18:59,8000152.0,arr,Hamburg-Altona,4,18:59,20.06.19,Hannover%238000152,4,ICE
19497, ,,ICE773,Hamburg-Altona 16:45-Hamburg Dammtor 16:54-Hamburg Hbf 17:01-Hamburg-Harburg 17:12-Hannover Hbf 18:21,8000152.0,arr,Hamburg-Altona,4,18:21,20.06.19,Hannover%238000152,0,ICE
19585, ,,ICE554,Berlin Gesundbrunnen 16:35-Berlin Hbf (tief) 16:50-Berlin-Spandau 17:02-Hannover Hbf 18:28,8000152.0,arr,Berlin Gesundbrunnen,12,18:28,20.06.19,Hannover%238000152,0,ICE
19586, ,,ICE943,Düsseldorf Hbf 15:51-Düsseldorf Flughafen 15:59-Duisburg Hbf 16:09-Essen Hbf 16:23-Bochum Hbf 16:35-Dortmund Hbf 16:48-Bielefeld Hbf 17:34-Hannover Hbf 18:28,8000152.0,arr,Düsseldorf Hbf,9,18:28,20.06.19,Hannover%238000152,0,ICE
