,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
30459, ,,ICE993,Hamburg Hbf 19:36-Berlin-Spandau 21:10-Berlin Hbf (tief) 21:22-Berlin Südkreuz 21:33-Lutherstadt Wittenberg Hbf 22:09-Bitterfeld 22:27-Leipzig Hbf 22:47-Erfurt Hbf 23:33-Gotha 23:55-Eisenach 00:10-Frankfurt(Main)Hbf 02:15-Frankfurt(M) Flughafen Fernbf 02:38-Mannheim Hbf 03:26-Stuttgart Hbf 04:44-Ulm Hbf 06:10-Günzburg 06:25-Augsburg Hbf 06:57-München-Pasing 07:21-München Hbf 07:32,8002549.0,dep,München Hbf,5,19:36,20.06.19,Hamburg%238002549,0,ICE
31459, ,,ICE 74,Hamburg Hbf 17:57-Hamburg Dammtor 18:00-Neumünster 18:56-Flintbek19:09-Kiel Hbf (Halt entfällt) 19:16,8002549.0,dep,Kiel Hbf,8,17:57,20.06.19,Hamburg%238002549,0,ICE
31536, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,20:54,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,11,19:54,20.06.19,Hamburg%238002549,60,ICE
31567, ,,ICE706,München Hbf 13:55-Ingolstadt Hbf 14:31-Nürnberg Hbf 15:06-Bamberg 15:40-Erfurt Hbf 16:32-Bitterfeld 17:24-Berlin Südkreuz 18:20-Berlin Hbf (tief) 18:38-Berlin-Spandau 18:48-Hamburg Hbf 20:23,8002549.0,arr,München Hbf,6,20:23,20.06.19,Hamburg%238002549,0,ICE
31578, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges,20:31,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg-Harburg 20:18-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,-,20:28,20.06.19,Hamburg%238002549,3,ICE
31608, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Zusätzlicher Halt zum Ein- /Ausstieg für Reisende,21:40,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,45,ICE
31657, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges,20:30,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg-Harburg 20:18-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,-,20:28,20.06.19,Hamburg%238002549,2,ICE
31736, Ersatzfahrt für ICE  786@@Grund: Verspätete Bereitstellung des Zuges,20:29,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg-Harburg 20:18-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,-,20:28,20.06.19,Hamburg%238002549,1,ICE
31894, Ersatzfahrt für ICE  786,,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg-Harburg 20:18-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,-,20:28,20.06.19,Hamburg%238002549,0,ICE
31924, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Zusätzlicher Halt zum Ein- /Ausstieg für Reisende,21:39,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,44,ICE
