,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
14394, Ersatzfahrt für ICE  974,,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:03-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:36-Frankfurt(Main)Hbf 16:52-Kassel-Wilhelmshöhe 18:19-Göttingen 18:39-Hannover Hbf 19:34-Lüneburg 20:26-Hamburg Hbf 20:55-Hamburg Dammtor 21:04-Neumünster 21:51-Kiel Hbf 22:14,8098096.0,dep,Kiel Hbf,10Stuttgart Hbf,15:24,20.06.19,Stuttgart%238098096,0,ICE
14411, ,,ICE516,Stuttgart Hbf 15:51-Mannheim Hbf 16:28-Frankfurt(M) Flughafen Fernbf 17:06-Siegburg/Bonn 17:46-Köln Hbf 18:05-Düsseldorf Hbf 18:31-Duisburg Hbf 18:45-Essen Hbf 18:57-Bochum Hbf 19:08-Dortmund Hbf 19:21,8098096.0,dep,Dortmund Hbf,10Stuttgart Hbf,15:51,20.06.19,Stuttgart%238098096,0,ICE
14478, Grund: Verzögerungen im Betriebsablauf,16:24,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:52-Mannheim Hbf 15:31-Stuttgart Hbf 16:08,8098096.0,arr,Dortmund Hbf,15Stuttgart Hbf,16:08,20.06.19,Stuttgart%238098096,16,ICE
14503, ,16:45,ICE594,München Hbf 14:28-München-Pasing 14:37-Augsburg Hbf 15:03-Ulm Hbf 15:49-Stuttgart Hbf 16:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,16:45,20.06.19,Stuttgart%238098096,0,ICE
14525, Grund: Verzögerungen im Betriebsablauf@@Gleiswechsel,16:24,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:52-Mannheim Hbf 15:31-Stuttgart Hbf 16:08,8098096.0,arr,Dortmund Hbf,16Stuttgart Hbf,16:08,20.06.19,Stuttgart%238098096,16,ICE
14666, ,,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:52-Mannheim Hbf 15:31-Stuttgart Hbf 16:08,8098096.0,arr,Dortmund Hbf,15Stuttgart Hbf,16:08,20.06.19,Stuttgart%238098096,0,ICE
15280, ,,ICE 1109,Stuttgart Hbf 16:14-Ulm Hbf 17:10-Augsburg Hbf 17:53-München-Pasing 18:18-München Hbf 18:27,8098096.0,dep,München Hbf,15Stuttgart Hbf,16:14,20.06.19,Stuttgart%238098096,0,ICE
15301, ,,ICE 1010,Stuttgart Hbf 16:37-Mannheim Hbf 17:19-Frankfurt(M) Flughafen Fernbf 17:53-Köln Messe/Deutz Gl.11-12 18:41-Düsseldorf Hbf 19:05-Duisburg Hbf 19:22-Essen Hbf 19:34-Gelsenkirchen Hbf 19:44-Wanne-Eickel Hbf 19:50-Recklinghausen Hbf 19:58-Münster(Westf)Hbf 20:28,8098096.0,dep,Münster(Westf)Hbf,10Stuttgart Hbf,16:37,20.06.19,Stuttgart%238098096,0,ICE
15310, ,16:51,ICE594,Stuttgart Hbf 16:51-Mannheim Hbf 17:29-Frankfurt(Main)Hbf 18:08-Fulda 19:07-Eisenach 20:00-Erfurt Hbf 20:26-Leipzig Hbf 21:10-Lutherstadt Wittenberg Hbf 21:46-Berlin Südkreuz 22:22-Berlin Hbf (tief) 22:29-Berlin Gesundbrunnen 22:43,8098096.0,dep,Berlin Gesundbrunnen,10Stuttgart Hbf,16:51,20.06.19,Stuttgart%238098096,0,ICE
15500, Gleiswechsel,16:45,ICE594,München Hbf 14:28-München-Pasing 14:37-Augsburg Hbf 15:03-Ulm Hbf 15:49-Stuttgart Hbf 16:45,8098096.0,arr,München Hbf,9Stuttgart Hbf,16:45,20.06.19,Stuttgart%238098096,0,ICE
