,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
7725, Grund: Türstörung,13:53,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:49,8000207.0,arr,Dortmund Hbf,6,13:49,20.06.19,Koeln%238000207,4,ICE
7800, Grund: Verspätung eines vorausfahrenden Zuges,13:12,ICE652,Berlin Gesundbrunnen 08:35-Berlin Hbf (tief) 08:50-Berlin-Spandau 09:02-Hannover Hbf 10:31-Bielefeld Hbf 11:26-Hamm(Westf) 11:56-Wuppertal Hbf 12:40-Köln Hbf 13:09,8000207.0,arr,Berlin Gesundbrunnen,8,13:09,20.06.19,Koeln%238000207,3,ICE
7968, ,,ICE652,Berlin Gesundbrunnen 08:35-Berlin Hbf (tief) 08:50-Berlin-Spandau 09:02-Hannover Hbf 10:31-Bielefeld Hbf 11:26-Hamm(Westf) 11:56-Wuppertal Hbf 12:40-Köln Hbf 13:09,8000207.0,arr,Berlin Gesundbrunnen,8,13:09,20.06.19,Koeln%238000207,0,ICE
8061, Grund: Türstörung,13:52,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:49,8000207.0,arr,Dortmund Hbf,6,13:49,20.06.19,Koeln%238000207,3,ICE
8087, ,,ICE123,Amsterdam Centraal 10:38-Utrecht Centraal 11:07-Arnhem Centraal 11:37-Oberhausen Hbf 12:26-Duisburg Hbf 12:34-Düsseldorf Hbf 12:48-Köln Hbf 13:15,8000207.0,arr,Amsterdam Centraal,6,13:15,20.06.19,Koeln%238000207,0,ICE
8131, Grund: Notarzteinsatz am Gleis,15:12,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,127,ICE
8243, Grund: Notarzteinsatz am Gleis,15:13,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,128,ICE
8326, ,13:38,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,5,ICE
8429, ,13:28,ICE123,Köln Hbf 13:28-Frankfurt(M) Flughafen Fernbf 14:16-Frankfurt(Main)Hbf 14:31,8000207.0,dep,Frankfurt(Main)Hbf,6,13:28,20.06.19,Koeln%238000207,0,ICE
8442, ,13:43,ICE210,Köln Hbf 13:43-Aachen Hbf 14:16-Liège-Guillemins 14:44-Bruxelles-Nord 15:26-Bruxelles Midi 15:35Köln Hbf - Aachen Hbf: Information. Weitere Informationen,8000207.0,dep,Bruxelles Midi,6 D-G,13:43,20.06.19,Koeln%238000207,0,ICE
