,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
30470, Fahrt fällt aus,,ICE704,München Hbf 15:44-Nürnberg Hbf 17:05-Bamberg 17:41-Erfurt Hbf 18:32-Bitterfeld 19:24-Berlin Südkreuz 20:19-Berlin Hbf (tief) 20:26Berlin Hbf (tief): Information. Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,München Hbf,7Berlin Hbf (tief),20:26,20.06.19,Berlin%238011160,0,ICE
30474, ,20:31,ICE596,München Hbf 12:28-München-Pasing 12:37-Augsburg Hbf 13:02-Ulm Hbf 13:49-Stuttgart Hbf 14:51-Mannheim Hbf 15:32-Frankfurt(Main)Hbf 16:13-Fulda 17:09-Eisenach 18:02-Erfurt Hbf 18:28-Leipzig Hbf 19:16-Lutherstadt Wittenberg Hbf 19:48-Berlin Hbf (tief) 20:29,8011160.0,arr,München Hbf,6Berlin Hbf (tief),20:29,20.06.19,Berlin%238011160,2,ICE
30499, ,20:55,ICE 1633,Frankfurt(Main)Hbf 17:02-Erfurt Hbf 19:09-Berlin Hbf (tief) 20:55,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),20:55,20.06.19,Berlin%238011160,0,ICE
30530, ,,ICE 1607,Hamburg-Altona 18:19-Hamburg Dammtor 18:28-Hamburg Hbf 18:35-Berlin-Spandau 20:10-Berlin Hbf (tief) 20:20,8011160.0,arr,Hamburg-Altona,2Berlin Hbf (tief),20:20,20.06.19,Berlin%238011160,0,ICE
30602, ,,ICE704,München Hbf (Halt entfällt) 15:44-Nürnberg Hbf (Halt entfällt) 17:05-Bamberg (Halt entfällt) 17:41-Erfurt Hbf (Halt entfällt) 18:32-Bitterfeld (Halt entfällt) 19:24-Berlin Südkreuz (Halt entfällt) 20:19-Berlin Hbf (tief) (Halt entfällt) 20:26,8011160.0,arr,München Hbf,7Berlin Hbf (tief),20:26,20.06.19,Berlin%238011160,0,ICE
30868, ,,ICE596,München Hbf 12:28-München-Pasing 12:37-Augsburg Hbf 13:02-Ulm Hbf 13:49-Stuttgart Hbf 14:51-Mannheim Hbf 15:32-Frankfurt(Main)Hbf 16:13-Fulda 17:09-Eisenach 18:02-Erfurt Hbf 18:28-Leipzig Hbf 19:16-Lutherstadt Wittenberg Hbf 19:48-Berlin Hbf (tief) 20:29,8011160.0,arr,München Hbf,6Berlin Hbf (tief),20:29,20.06.19,Berlin%238011160,0,ICE
31292, ,,ICE70278,Berlin Hbf 20:04-Berlin Ostbahnhof 20:11,8011160.0,dep,Berlin Ostbahnhof,-,20:04,20.06.19,Berlin%238011160,0,ICE
31316, ,,ICE 1607,Berlin Hbf (tief) 20:30-Berlin Südkreuz 20:35-Lutherstadt Wittenberg Hbf 21:10-Leipzig Hbf 21:42-Erfurt Hbf 22:32,8011160.0,dep,Erfurt Hbf,2Berlin Hbf (tief),20:30,20.06.19,Berlin%238011160,0,ICE
31329, Ersatzfahrt für ICE  704,,ICE 2922,Berlin Hbf (tief) 20:38-Berlin-Spandau 20:46-Hamburg Hbf 22:21-Hamburg Dammtor 22:30-Hamburg-Altona 22:38,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),20:38,20.06.19,Berlin%238011160,0,ICE
31917, ,,ICE 1633,Frankfurt(Main)Hbf 17:02-Erfurt Hbf 19:09-Berlin Hbf (tief) 20:55,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),20:55,20.06.19,Berlin%238011160,0,ICE
33076, ,,ICE653,Köln Hbf 16:48-Wuppertal Hbf 17:16-Hamm(Westf) 18:02-Bielefeld Hbf 18:34-Hannover Hbf 19:31-Berlin Hbf (tief) 21:05,8011160.0,arr,Köln Hbf,5Berlin Hbf (tief),21:05,20.06.19,Berlin%238011160,0,ICE
